#,User ID,Rating_Category_ID,Semester_year_id,Semester_id,Parent_id,Subject_id,Level_id,Created_at,Updated_at,Cost,Appropriateness,Effectiveness,Value,Visual Aids ,Overall,Recommend,Manual,Slides,Question_bank,Assignments,Digital_video_resource,Reuse
1,114,Book,2019,FALL-WINT,239,HEALTHSERV,Grad_Year 2,2019-11-01 15:12:35.000,2019-11-09 05:39:35.000,Free,1.0,4.0,3.5,4.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
2,17,Book,2019,FALL-WINT,63,HOSPTOUR,Post Doctoral,2019-11-02 15:12:34.995,2019-11-10 05:39:35.000,Free,1.5,4.0,2.0,4.0,4.5,1.0,0.0,1.0,0.0,1.0,1.0,0.0
3,98,Book,2019,FALL-WINT,83,INFOCOMM,Post Doctoral,2019-11-03 15:12:34.995,2019-11-11 05:39:35.000,$200+,4.0,3.5,1.5,2.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
4,144,Book,2019,WINTER,247,HEALTHSERV,Other,2019-11-04 15:12:34.995,2019-11-12 05:39:35.000,$200+,0.5,2.5,4.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
5,32,Book,2019,FALL,319,ED,Grad_Year 2,2019-11-05 15:12:34.995,2019-11-13 05:39:35.000,$100-$149.99,5.0,4.5,3.5,4.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
6,24,Book,2019,FALL,2,LAW,Grad_Year 3,2019-11-06 15:12:34.995,2019-11-14 05:39:35.000,$50-$99.99,2.0,4.5,0.5,4.5,4.5,0.0,0.0,1.0,0.0,0.0,1.0,1.0
7,167,Book,2019,FALL,257,COMSC,Doctoral_Year 3,2019-11-07 15:12:34.995,2019-11-15 05:39:35.000,$1-$9.99,5.0,3.0,2.0,5.0,4.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0
8,15,Book,2019,FALL,148,ENVHORT,Grad_Year 4,2019-11-08 15:12:34.995,2019-11-16 05:39:35.000,$200+,3.0,0.5,1.5,4.5,4.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
9,182,Book,2019,SPRING,31,GEO,Undergrad_Year 1,2019-11-09 15:12:34.995,2019-11-17 05:39:35.000,$1-$9.99,4.5,3.0,3.0,5.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
10,160,Book,2019,SPR-SUMM,174,LANG,Grad_Year 2,2019-11-10 15:12:34.995,2019-11-18 05:39:35.000,$100-$149.99,4.5,3.5,3.5,3.0,3.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0
11,95,Book,2019,SPRING,51,PSY,Undergrad_Year 4,2019-11-11 15:12:34.995,2019-11-19 05:39:35.000,$10-$29.99,2.0,4.5,4.0,4.5,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,54,Book,2019,FALL,84,LAW,Doctoral_Year 3,2019-11-12 15:12:34.995,2019-11-20 05:39:35.000,$30-$49.99,3.5,5.0,4.0,4.5,0.5,0.0,1.0,1.0,1.0,1.0,0.0,1.0
13,185,Book,2019,WINTER,290,MEDIA,Undergrad_Year 2,2019-11-13 15:12:34.995,2019-11-21 05:39:35.000,$30-$49.99,3.5,3.5,5.0,2.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0
